Angle,Displacement,Velocity,Acceleration
0,0,0,2.3
30,0.3,1.1,2
60,1.1,1.9,1.2
90,2.3,2.3,0
120,3.6,2,-1.1
150,4.1,1.2,-2
180,4.9,0,-2.4
210,4.2,-1.2,-2
240,3.6,-1.9,-1.2
270,2.4,-2.3,0
300,1.2,-1.9,1.2
330,0.3,-1.2,1.9
360,0,0,2.3
